Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
MLPRegressor,0.9263845391057883,0.9296304787292435,49.82454628812987,13.382241010665894
ExtraTreesRegressor,0.9213006072104554,0.9247707135480975,51.51628363630854,6.647945404052734
LGBMRegressor,0.9203869283426298,0.9238973216852593,51.81446580623989,0.3619685173034668
